App,Label,VIDEO,BLUETOOTH_INFORMATION,CALENDAR_INFORMATION,SMS_MMS,ACCOUNT_INFORMATION,EMAIL_INFORMATION,FILE_INFORMATION,SYNCHRONIZATION_DATA,PHONE_CONNECTION,NETWORK,AUDIO,IMAGE,ACCOUNT_SETTINGS,VOIP,FILE,DATABASE_INFORMATION,NETWORK_INFORMATION,HARDWARE_INFO,NFC,SYSTEM_SETTINGS,CONTACT_INFORMATION,VOIP_INFORMATION,PHONE_INFORMATION,EMAIL_SETTINGS,PHONE_STATE,BROWSER_INFORMATION,NO_CATEGORY,LOG,BLUETOOTH,UNIQUE_IDENTIFIER,INTER_APP_COMMUNICATION,EMAIL,ALL,LOCATION_INFORMATION
malicious-app-19-6E84F130A315A5CDCA428ABE9224759622DE3D36591CB3981849C76DDC111828.apk,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,151,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
benign-app-55-81091F430A6D82CE4FC51DD09D42E91DA246EC89053B79752A483C482DD33D45.apk,0,7,18,7,7,7,7,7,7,7,7,7,7,7,7,7,7,60,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
benign-app-53-7F3CA999DF536604EA27AD1C15FCF0827146964C26C9C035D21C22620BFFFDB8.apk,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,429,7,7,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7
benign-app-2-083E11AB8280522404D62963B6118DE52D81333D8640C876244687FD1FEC065D.apk,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,181,7,7,11,7,7,7,7,7,7,7,7,7,7,7,7,7,7
benign-app-64-8E4BE8983DB5021EB3857749D71E47A465AA79A4DC207D1FBB085C63CDF679CC.apk,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,91,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
malicious-app-39-7ABDDED877DE061FF5746931EE70FB9118F8A6CE6555C46A99438B601E6C79EC.apk,1,9,9,11,9,9,9,9,9,9,9,9,9,9,9,9,9,293,9,9,11,9,9,9,9,9,9,9,9,9,9,9,9,9,21
benign-app-37-4A9246E4D7C054563187716BF66918843837EA27D56EAFF3D01724A4BF42A8DE.apk,0,11,11,10,11,10,11,11,11,11,11,11,11,11,11,11,11,317,11,11,10,10,11,11,11,11,11,11,11,11,11,11,11,11,18
malicious-app-67-D40C209A276F2ED51B08C066A9AEF98A2BE2C1E752FF36996015DB8E24A0D9F6.apk,1,9,9,12,9,9,9,9,9,9,9,9,9,9,9,9,9,532,9,9,13,9,9,9,9,9,9,9,9,9,9,9,9,9,9
benign-app-83-C06D8F084C95407F8637B1126AFEEA7B55C4D652CE6915E2251942F1B518142C.apk,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,143,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10
malicious-app-15-ADC32D86A5D4785BA15FAFCA79AB1A4078BD5FED5E973222268C539F6B50AFE6.apk,1,8,8,10,8,8,8,8,8,8,8,8,8,8,8,8,8,128,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10
benign-app-20-268ACDFDAB9F6F187640789D5849CE53E810AD9A30EC67E1033403E198C4B7F5.apk,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,34,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
benign-app-7-34A68DD3A89F62894D45DBE134E403D97BF76360DEFC507BB1BABEDC9B0D120F.apk,0,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,411,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,12
malicious-app-10-61A821BFC736D682D560339E05923437F90A66B1ADF95E26D112F693D65B8131.apk,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,403,8,8,9,8,8,8,8,8,8,8,8,8,8,8,8,8,14
benign-app-15-1F1DDB0D06F4A0753C9389C9A16B1B13925C497729C9E9D66C44824C4798A639.apk,0,8,8,10,8,8,8,8,8,8,8,8,8,8,8,8,8,128,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10
malicious-app-69-3302A79051F7FFE20D56CE94D0DE0041E1F7217F6CE976DCEBB7093954B74BD8.apk,1,8,8,11,8,8,8,8,8,8,8,8,8,8,8,8,8,471,8,8,11,8,8,8,8,8,8,8,8,8,8,8,8,8,8
malicious-app-18-8FF6FD070D2ECFF9F8EEDD32C7BDFB21E3B8BA480A7C44939EACE06BC909F5C2.apk,1,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,174,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,16
malicious-app-85-89F63C6DFA556087D29B390C875BCC7CB85BA1863E6938AA7FF991FA4496B84B.apk,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,105,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
benign-app-78-B2BA92F966D68D468C3D1CC9865B551156EEF42260BC46C9714CA6E3D0D8CC3D.apk,0,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,346,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9
benign-app-56-8286E9A7DD8E90851E9EA898E510C68E8BF966E8AD89558D652483F4D095B8FE.apk,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,75,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
benign-app-24-30D7F8D4F1F63E5F33EBBEDC0A3E68CCAC221D19466F4ACB5BBF5701806AAAFF.apk,0,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,146,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,12
malicious-app-78-A7EE14E6D38FCF58ECB8A774955E28890E6486CA4B59D1F633AC8FF0A5D7ECA6.apk,1,9,9,11,9,9,9,9,9,9,9,9,9,9,9,9,9,420,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,11
malicious-app-92-4AF75669FF2E26EB26A62DDE3F864FD296D0656FE4B6823024EFDF6530A54534.apk,1,9,11,13,9,9,9,9,9,9,9,9,9,9,9,9,9,203,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,16
